stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction
STOP_133016,,Radames Treviño,,19.40842761293495,-99.1047477722168,,,0,,0,
STOP_133017,,Estación Metro Velodromo (Frente a la ESEF),,19.408063322875957,-99.10189390182494,,,0,,0,
STOP_133018,,Escuela Superior de Educación Fisica,,19.40621150245911,-99.10252690315247,,,0,,0,
STOP_133019,,Palacio de los Deporte Puerta 6,,19.40431918331237,-99.10151839256287,,,0,,0,
STOP_133020,,Palacio de los Deportes,,19.403054251820397,-99.09909367561339,,,0,,0,
STOP_133021,,Circuito Bicentenario Río Churubusco,,19.402791144834314,-99.09753799438477,,,0,,0,
STOP_133023,,Resina,,19.402042299544778,-99.09238815307617,,,0,,0,
STOP_133024,,Centeno,,19.39850041701016,-99.0888261795044,,,0,,0,
STOP_133025,,Canela,,19.396405610197963,-99.08910512924194,,,0,,0,
STOP_133026,,Trigo,,19.394907857393832,-99.08849358558655,,,0,,0,
STOP_133027,,Canal de Río Churubusco,,19.393683333035547,-99.08622980117798,,,0,,0,
STOP_133028,,Oriente 217,,19.392580241221765,-99.08386945724487,,,0,,0,
STOP_133030,,Sur 20,,19.393430330986664,-99.0816056728363,,,0,,0,
STOP_133031,,Oriente 229,,19.39336961043642,-99.08145546913147,,,0,,0,
STOP_133032,,Oriente 233,,19.39302552689044,-99.07920241355896,,,0,,0,
STOP_133033,,Oriente 233,,19.39290408546524,-99.07951354980467,,,0,,0,
STOP_133034,,Sur 16,,19.395960333777136,-99.08101558685303,,,0,,0,
STOP_133035,,Sur 16,,19.395757935001278,-99.08095121383667,,,0,,0,
STOP_133036,,Sur 12,,19.398621854259236,-99.08044695854187,,,0,,0,
STOP_133037,,Sur 12,,19.39841945879375,-99.08039331436157,,,0,,0,
STOP_133038,,Sur 8,,19.401040460591204,-99.07933115959166,,,0,,0,
STOP_133039,,Oriente 229,,19.401172015553133,-99.07918095588684,,,0,,0,
